DANH SÁCH TRƯỜNG HẠN CHẾ VISA NĂM 2026,,,
STT,TÊN TRƯỜNG,TÊN TRƯỜNG TIẾNG HÀN,KHU VỰC
1,Geumgang University,금강대학교,Chungnam (Nonsan)
2,Suwon Catholic University,수원가톨릭대학교,Gyeonggi (Hwaseong)
3,Joong-Ang Sangha University,중앙승가대학교,Gyeonggi (Gimpo)
4,Hyupsung University,협성대학교,Gyeonggi (Hwaseong)
5,Daegu Haany University,대구한의대학교,Gyeongbuk (Gyeongsan)
6,Sangji University,상지대학교,Wonju
7,Howon University,호원대학교,Jeonbuk (Gunsan)
8,Busan Kyungsang College,부산경상대학교,Busan
9,Busan Arts College,부산예술대학교,Busan
10,Hanyeong University,한영대학교,Jeollanam
11,Mokpo Science College,목포과학대학교,Jeollanam
