STT,Hạng mục,Chi phí,Note
1,Tiền học tiếng hàn,13.000.000,"Học từ 0 lên topik 2
 + Tài khoản E-Learning"
2,Phí tư vấn du học và xử lý hồ sơ,39.000.000,
3,Phí trung tâm thu hộ học sinh và đóng cho bên thứ 3,11.000.000,Phí công chứng
,,,Tem vàng
,,,Tem tím
,,,Xin visa
,,,Khám sức khoẻ
,,,Phí ship hồ sơ qua các đơn vị tại Việt Nam
,,,Phí ship hồ sơ sang trường
,,,Phí đưa đón Hàn Quốc
,,,Phí tìm ký túc xá
4,Phí Apply,100000 Won,
5,Phí nhập học,0,
6,Kí túc xá tại Việt Nam,800.000,Cho học viên chọn số tháng ở
7,Invoice,5800.000 Won,1 năm học phí
8,Học Bổng,0,Nhân theo % giảm so với invoice
9,Invoice ký túc xá / Tiền thuê nhà,"747.000 KRW(Phòng 4 người) , 1.102.000 KRW (Phòng 2 người), 1.440.000 KRW(Phòng 2 người KTX quốc tế)  ",Học viên chọn phòng số người ở
10,Mở sổ tiết kiệm,10.000.000 Won,"Học viên chọn loại sổ 
10.000.000 won
8.000.000 Won"
11,Vé máy bay 1 chiều,8.000.000,"Nhiều hoặc ít tiền phụ thuộc vào việc đặt vé sớm hay muộn
Bao gồm 40kg ký gửi
"
